categories,definition
maturation,"Timing of the attaiment of functional maturity, sometimes relative to other structures, sometimes  as to constituent structures relative to each other. E.g. early-maturing, hysteranthours, protandrous."
nutrition,"An organism's mode of acquiring nutrients, e.g., autotrophic, mycoparasitic."
odor,"Olfactory stimulation or the lack of it, e.g.,  scentless, almondy, aromatic, fetid. This category overlap significantly with Taste category."
orientation,"The relative position of a structure to a reference point, line, or/and plane in space, e.g., erect, prostrate."
ploidy,"The number of sets of chromosomes in the nucleus of a cell, e.g., diploid, hexaploid, haploid. Note,  ""diplods"" goes into Structure, because the term refer to organisms with that character state. "
position,"The disposition of a structure with reference to some non-homologous (dissimilar) structures or larger context. E.g., adaxial, antipetalous, apical, axillary, basal. Differentiate this category from Location."
position_relational,"The disposition of a structure in direct relation to other dissimilar structures, with involving structures explicted identified. E.g., [A] covering, covered, embracing, reaching, [B]. "
prominence,"The degree or nature of evidence when present within the context in point, e.g., obscure, unremarkable, prominent."
pubescence,"Collective aspect of hairs, scales or bristles born on a surface, e.g., hairy, scaly, wooly. Differentiate this category from Relief, Coating, and Texture. "
quantity,"The quantity of a structure, e.g. many, few, fewer."
reflectance,"Aspect as to proportion and pattern of incident light reflected from the surface, e.g., glassy, glistening, glittering, glossy, polished. Differentiate this category from Coloration."
relief,"General topographic aspect of a surface, e.g., glabrous, sculptured, muricate. Differentiate this category from Pubescence, Coating, and Texture. "
reproduction,"The mode of reproduction or the mode of the development of reproductive organs, including characters of fertility, mating systems, dispersal and pollination strategies, and maturation or distribution of female and/or male flowers. E.g., agamospermous, allogamous, self-fertilizing, polycarpic . Reproductive organs/structures go into Structure."
season,"One of the four natural divisions of the year, spring, summer, fall and winter in the North and South Temperate zones OR one of the two divisions of the year, rainy and dry, in some tropical regions"
shape,"Overall two- or three – dimensional form or aspect thereof, e.g., rounded, spheroid,  folded,  folding, incurling."
size,"Absolute or relative extent in any one dimension or in an area or volume, e.g., big, medium-sized, small."
structure,"External and internal anatomical entities, including parts, spaces, lines, scars, constrictions, derived products, etc. Terms belonging to this category are nouns, e.g., leaves, stems. Adjective form of structure terms go into ""Structure_in_adjective_form"" category."
structure_in_adjective_form ,"External and internal anatomical parts, spaces, lines, and derived products. Terms belonging to this category are adjectives, e.g, bracteal, tigmatic.  Structure terms that are nouns go into ""Structure"" category."
structure_subtype ,"words describing the type of a structure, e.g. primary, "
taste,"Gustatory stimulation or the lack of it, e.g., acrid, almondy, fruity, spicy. This category overlaps significantly with Odor category."
taxon_name,"Taxon and vernacular names, or fragments of the epithet (genus or species). Do not categorize authorities."
texture,"Substantial properties as perceived by visual and tactile senses, e.g. bony, fleshy, leathery, papery, cartilaginous. Differentate this category from Pubescence, Relief, and Coating. "
toxicity,"Degree of toxicity or the lack of it, e.g., irritating, edible, nontoxic, toxic."
variability,"Disposition to vary or change, e.g., consistent, diverse, varied."
width,"The distance from one side of something to the other side, e.g., wide, broad, narrowed."
